,Scientific Name ,Common Name,Plant Type,Weed Status,Victorian Status,Area Of Potential Distribution Remaining,Potential For Invasion,Risk Rating,Family,Victorian Biomes,Impact On Natural Systems,Native,Rate Of Dispersal,Height Ranges,Spread Ranges,Flower Colour,Leaf Colour,Climate Zones,Abcission,Soil Type,Light Needs
1,Acacia baileyana,Cootamundra Wattle,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Moderately High Risk,Fabaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,Yes,Slow,5 to 8m,5 to 10m,Yellow,Silver,Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
2,Acacia elata,Cedar Wattle,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,High Risk,Fabaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,Yes,Slow,8 to 15m,3 to 5m,Yellow,Mid green,Humid Subtropical | Dry Subtropical,Evergreen,Sand | Loam | Clay,Sun
3,Acacia fimbriata,Fringed Wattle,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,High Risk,Fabaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,Yes,Moderate,2 to 5m,2 to 3m,Yellow,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
4,Acacia longifolia subsp. sophorae,Coast Wattle,Shrub,Environmental Weed,Native to Victoria,Extensive potential for further spread,Highly Invasive,Very High Risk,Fabaceae,Coasts and Heathlands |  Ranges,Typically significant,Yes,Moderate,0.5 to 1m,2 to 3m,Yellow,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
5,Acacia pendula,Weeping Myall,Small Tree,Environmental Weed,Native to Victoria,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Fabaceae,Inland Plains |  Mallee and Semi-arid,Occasionally significant,Yes,Slow,5 to 8m,5 to 10m,Yellow,Grey-green,Dry Subtropical | Desert | Temperate,Evergreen,Sand | Loam | Clay,Sun
6,Acacia podalyriifolia,Queensland Silver Wattle,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Fabaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,Yes,Slow,2 to 5m,3 to 5m,Yellow,Silver,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
7,Acanthus mollis,Bear's Breach,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,High Risk,Acanthaceae,Coasts and Heathlands |  Ranges,Typically significant,No,Slow,0.5 to 1m,1 to 2m,White and blue,Dark green,Temperate,Evergreen,Loam,Semi-shade
8,Acer negundo,Box-elder Maple,Medium Tree,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Very High Risk,Sapindaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,No,Rapid,5 to 8m,5 to 10m,Insignificant,Mid green,Temperate,Deciduous,Loam,Sun
9,Acer palmatum,Japanese Maple,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Medium Risk,Sapindaceae,Ranges |  Inland Plains,Rarely significant,No,Moderate,5 to 8m,5 to 10m,Insignificant,Mid green and red,Temperate,Deciduous,Loam,Sun | Semi-shade
10,Acetosella vulgaris,Sheep Sorrel,Herb | Perennial,Environmental Weed,Introduced,Minor potential for further spread,Highly Invasive,Moderately High Risk,Polygonaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Occasionally significant,No,Rapid,Under 0.5m,Under 0.5m,Insignificant,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
